0.0	"7530505"
0.0	"7530504"
0.0	"7530503"
0.0	"7530502"
0.0	"7530501"
0.0	"7530500"
0.0	"753050"
0.0	"75305"
0.0	"7530499"
0.0	"7530498"
0.0	"7530497"
0.0	"7530496"
0.0	"7530495"
0.0	"7530494"
0.0	"7530493"
0.0	"7530492"
0.0	"7530491"
0.0	"7530490"
0.0	"753049"
0.0	"7530489"
0.0	"7530488"
0.0	"7530487"
0.0	"7530486"
0.0	"7530485"
0.0	"7530484"
0.0	"7530483"
0.0	"7530482"
0.0	"7530481"
0.0	"7530480"
0.0	"753048"
0.0	"7530479"
0.0	"7530478"
0.0	"7530477"
0.0	"7530476"
0.0	"7530475"
0.0	"7530474"
0.0	"7530473"
0.0	"7530472"
0.0	"7530471"
0.0	"7530470"
0.0	"753047"
0.0	"7530469"
0.0	"7530468"
0.0	"7530467"
0.0	"7530466"
0.0	"7530465"
0.0	"7530464"
0.0	"7530463"
0.0	"7530462"
0.0	"7530461"
0.0	"7530460"
0.0	"753046"
0.0	"7530459"
0.0	"7530458"
0.0	"7530457"
0.0	"7530456"
0.0	"7530455"
0.0	"7530454"
0.0	"7530453"
0.0	"7530452"
0.0	"7530451"
0.0	"7530450"
0.0	"753045"
0.0	"7530449"
0.0	"7530448"
0.0	"7530447"
0.0	"7530446"
0.0	"7530445"
0.0	"7530444"
0.0	"7530443"
0.0	"7530442"
0.0	"7530441"
0.0	"7530440"
0.0	"753044"
0.0	"7530439"
0.0	"7530438"
0.0	"7530437"
0.0	"7530436"
0.0	"7530435"
0.0	"7530434"
0.0	"7530433"
0.0	"7530432"
0.0	"7530431"
0.0	"7530430"
0.0	"753043"
0.0	"7530429"
0.0	"7530428"
0.0	"7530427"
0.0	"7530426"
0.0	"7530425"
0.0	"7530424"
0.0	"7530423"
0.0	"7530422"
0.0	"7530421"
0.0	"7530420"
0.0	"753042"
0.0	"7530419"
0.0	"7530418"
0.0	"7530417"
0.0	"7530416"
